final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,R6_dive_no,R6_dd,R6_J1,R6_J2,R6_J3,R6_J4,R6_J5,R6_J6,R6_J7,R6_dive_points,R6_total_points,R6_dive_rank,R6_overall_rank,R6_points_behind,Olympic_Year,Gender,Event
1,China,Siyi Xie,28,543.60,0.00,5154B,3.4,8.50,8.50,8.50,8.00,8.50,8.00,8.50,86.70,86.70,1,1,0.00,5353B,3.3,7.50,8.00,8.50,8.00,8.00,8.00,8.50,79.20,165.90,5,3,6.70,207C,3.6,9.00,9.00,9.00,8.50,9.00,9.00,8.00,97.20,263.10,1,2,5.05,307C,3.5,9.00,8.50,8.50,8.00,9.00,8.50,9.00,91.00,354.10,1,2,3.30,407B,3.7,7.50,7.50,8.00,8.00,8.00,8.50,8.50,88.80,442.90,2,1,0.00,109C,3.8,9.00,9.00,9.00,8.50,8.50,9.00,8.50,100.70,543.60,2,1,0.00,2024,M,3m
2,China,Zongyuan Wang ,22,530.20,13.40,407C,3.4,8.00,8.00,8.50,8.00,7.50,8.50,8.00,81.60,81.60,2,2,5.10,5337D,3.5,9.00,8.50,8.50,8.50,9.00,8.50,9.00,91.00,172.60,1,1,0.00,5156B,3.9,8.50,8.50,8.50,8.00,8.00,8.00,8.00,95.55,268.15,2,1,0.00,307C,3.5,8.50,8.50,8.50,8.50,8.50,8.50,8.00,89.25,357.40,2,1,0.00,207C,3.6,6.50,6.50,6.50,7.00,6.50,7.50,6.50,70.20,427.60,6,2,15.30,109C,3.8,9.50,9.00,9.00,9.00,8.50,9.00,9.00,102.60,530.20,1,2,13.40,2024,M,3m
3,Mexico,Osmar Olvera Ibarra,20,500.40,43.20,407C,3.4,7.50,7.50,8.00,7.50,8.00,8.00,8.00,79.90,79.90,3,3,6.80,307C,3.5,8.50,8.50,8.50,8.50,8.50,8.50,8.50,89.25,169.15,2,2,3.45,207C,3.6,5.50,5.50,5.00,6.00,6.00,6.50,6.00,63.00,232.15,7,3,36.00,5172B,3.7,6.50,6.50,7.00,7.00,6.50,7.00,7.00,75.85,308.00,3,3,49.40,109C,3.8,9.00,9.00,8.50,8.50,9.00,8.50,8.50,98.80,406.80,1,3,36.10,5156B,3.9,8.00,8.00,8.00,8.50,8.50,7.50,7.50,93.60,500.40,3,3,43.20,2024,M,3m
4,United States,Carson Tyler,20,429.25,114.35,5154B,3.4,7.50,7.50,8.00,7.00,7.00,7.50,7.50,76.50,76.50,4,4,10.20,405B,3,7.50,7.50,7.00,7.50,8.00,7.50,7.50,67.50,144.00,10,7,28.60,107B,3.1,7.50,7.00,7.50,7.50,7.50,7.50,7.50,69.75,213.75,4,5,54.40,205B,3,8.00,8.00,8.00,8.50,8.00,8.00,8.00,72.00,285.75,8,5,71.65,307C,3.5,6.00,6.00,5.00,6.50,6.00,6.50,6.50,64.75,350.50,8,5,92.40,5337D,3.5,8.00,8.00,7.50,7.50,7.50,7.00,7.00,78.75,429.25,4,4,114.35,2024,M,3m
5,Great Britain,Jordan Houlden,26,427.75,115.85,5154B,3.4,7.50,7.50,8.00,7.50,7.50,7.50,8.00,76.50,76.50,4,4,10.20,407C,3.4,6.00,6.00,6.50,7.00,6.50,7.00,6.00,64.60,141.10,11,9,31.50,307C,3.5,6.50,6.50,6.50,6.00,6.00,6.50,7.00,68.25,209.35,5,6,58.80,5156B,3.9,6.50,6.50,6.00,6.00,6.50,6.00,7.00,74.10,283.45,4,6,73.95,207C,3.6,6.00,6.50,7.00,6.50,6.00,7.00,6.50,70.20,353.65,6,4,89.25,109C,3.8,6.50,6.50,6.50,6.50,6.50,6.50,6.00,74.10,427.75,6,5,115.85,2024,M,3m
6,Colombia,Luis Uribe Bermudez,22,421.85,121.75,407C,3.4,5.00,5.00,4.50,4.00,4.50,5.00,5.00,49.30,49.30,12,12,37.40,5154B,3.4,7.00,7.00,7.00,7.00,7.00,7.00,7.50,71.40,120.70,8,11,51.90,5156B,3.9,7.50,7.00,6.50,6.50,6.50,7.00,7.00,79.95,200.65,3,7,67.50,109C,3.8,6.00,6.00,6.00,7.00,7.00,6.50,6.50,72.20,272.85,6,7,84.55,207C,3.6,6.50,6.50,7.00,7.00,6.00,7.00,6.50,72.00,344.85,5,7,98.05,307C,3.5,7.00,7.00,6.50,7.50,7.50,7.50,7.50,77.00,421.85,5,6,121.75,2024,M,3m
7,Great Britain,Jack Laugher,29,410.95,132.65,5154B,3.4,7.50,7.50,7.50,7.00,6.50,7.50,6.50,74.80,74.80,7,7,11.90,307C,3.5,8.00,8.00,8.00,8.00,7.50,8.00,8.00,84.00,158.80,3,4,13.80,407C,3.4,3.50,3.50,3.00,3.00,3.50,4.00,4.00,35.70,194.50,12,8,73.65,5156B,3.9,6.00,6.00,6.00,6.50,6.00,6.50,6.50,72.15,266.65,7,8,90.75,109C,3.8,6.50,7.00,7.00,6.00,5.50,6.50,6.50,74.10,340.75,4,8,102.15,207C,3.6,6.50,6.50,6.50,6.00,6.50,6.00,6.50,70.20,410.95,8,7,132.65,2024,M,3m
8,France,Jules Bouyer,22,395.70,147.90,407C,3.4,7.00,7.50,7.50,7.00,6.50,7.00,7.50,73.10,73.10,9,9,13.60,5154B,3.4,8.50,8.50,8.00,8.00,8.00,8.00,8.00,81.60,154.70,4,5,17.90,205B,3,7.00,7.00,7.50,7.50,8.00,7.50,7.50,67.50,222.20,6,4,45.95,5337D,3.5,6.50,6.50,6.50,6.50,6.00,7.00,7.00,68.25,290.45,9,4,66.95,307C,3.5,5.50,5.50,5.50,5.50,5.00,5.00,6.00,57.75,348.20,10,6,94.70,109C,3.8,4.50,4.50,5.00,4.00,4.00,4.00,4.00,47.50,395.70,12,8,147.90,2024,M,3m
9,Dominican Republic,Jonathan Ruvalcaba,33,393.65,149.95,5154B,3.4,7.00,7.00,8.00,7.50,7.50,7.50,7.50,76.50,76.50,4,4,10.20,407C,3.4,4.00,4.50,4.50,4.00,4.00,4.50,5.00,44.20,120.70,12,11,51.90,109C,3.8,5.00,5.50,5.50,5.50,5.00,6.00,5.50,62.70,183.40,8,12,84.75,205B,3,6.00,6.50,7.00,7.00,7.00,7.00,6.50,61.50,244.90,11,11,112.50,307C,3.5,7.50,7.50,7.50,7.00,7.00,6.50,7.00,75.25,320.15,3,10,122.75,5337D,3.5,7.50,7.50,7.00,6.50,7.00,7.00,7.00,73.50,393.65,7,9,149.95,2024,M,3m
10,Australia,Kurtis Mathews,25,383.40,160.20,107B,3.1,7.00,7.00,7.00,7.00,7.00,7.00,7.50,65.10,65.10,11,11,21.60,5154B,3.4,7.50,7.50,8.00,7.50,7.00,7.50,7.50,76.50,141.60,7,8,31.00,307C,3.5,5.00,5.00,5.00,5.00,5.50,5.00,4.50,52.50,194.10,9,9,74.05,207C,3.6,6.50,6.50,6.00,5.50,6.00,5.50,6.00,64.80,258.90,10,9,98.50,407C,3.4,5.50,5.50,5.50,5.50,5.50,5.00,5.50,56.10,315.00,12,11,127.90,109C,3.8,6.00,6.00,6.00,6.00,6.00,7.00,6.50,68.40,383.40,10,10,160.20,2024,M,3m
