final_rank,country,athelete,age,points,pts_behind,R1_dive_no,R1_dd,R1_J1,R1_J2,R1_J3,R1_J4,R1_J5,R1_J6,R1_J7,R1_dive_points,R1_total_points,R1_dive_rank,R1_overall_rank,R1_points_behind,R2_dive_no,R2_dd,R2_J1,R2_J2,R2_J3,R2_J4,R2_J5,R2_J6,R2_J7,R2_dive_points,R2_total_points,R2_dive_rank,R2_overall_rank,R2_points_behind,R3_dive_no,R3_dd,R3_J1,R3_J2,R3_J3,R3_J4,R3_J5,R3_J6,R3_J7,R3_dive_points,R3_total_points,R3_dive_rank,R3_overall_rank,R3_points_behind,R4_dive_no,R4_dd,R4_J1,R4_J2,R4_J3,R4_J4,R4_J5,R4_J6,R4_J7,R4_dive_points,R4_total_points,R4_dive_rank,R4_overall_rank,R4_points_behind,R5_dive_no,R5_dd,R5_J1,R5_J2,R5_J3,R5_J4,R5_J5,R5_J6,R5_J7,R5_dive_points,R5_total_points,R5_dive_rank,R5_overall_rank,R5_points_behind,R6_dive_no,R6_dd,R6_J1,R6_J2,R6_J3,R6_J4,R6_J5,R6_J6,R6_J7,R6_dive_points,R6_total_points,R6_dive_rank,R6_overall_rank,R6_points_behind,Olympic_Year,Gender,Event
11,South Korea,Haram Woo,26,374.15,169.45,5154B,3.4,7.00,7.00,7.50,7.00,7.00,7.50,7.00,71.40,71.40,10,10,15.30,407C,3.4,6.50,6.50,7.50,6.50,6.50,7.00,7.00,68.00,139.40,9,10,33.20,109C,3.8,4.00,4.00,4.00,4.00,4.00,4.00,4.00,45.60,185.00,10,11,83.15,307C,3.5,7.00,7.00,7.00,7.00,6.50,7.00,7.00,73.50,258.50,5,10,98.90,205B,3,7.00,7.00,7.50,7.50,7.00,7.00,7.00,63.00,321.50,9,9,121.40,5156B,3.9,4.00,4.50,4.50,4.00,4.50,4.50,4.50,52.65,374.15,11,11,169.45,2024,M,3m
12,Germany,Moritz Wesemann,22,363.65,179.95,407C,3.4,7.00,7.00,7.50,7.50,7.50,7.00,7.50,74.80,74.80,7,7,11.90,5154B,3.4,7.50,7.50,8.00,8.00,8.00,7.50,7.50,78.20,153.00,6,6,19.60,307C,3.5,4.00,4.00,3.50,3.50,3.50,4.00,4.50,40.25,193.25,11,10,74.90,207C,3.6,4.00,4.50,3.50,3.00,4.00,4.00,4.00,43.20,236.45,12,12,120.95,109C,3.8,4.50,5.00,5.00,5.50,5.00,5.00,5.00,57.00,293.45,11,12,149.45,5156B,3.9,6.00,6.00,6.00,6.00,6.00,6.50,6.00,70.20,363.65,8,12,179.95,2024,M,3m
1,China,Siyi Xie,25,558.75,0.00,5154B,3.4,9.00,9.00,9.00,9.00,9.00,9.00,9.00,91.80,91.80,1,1,0.00,5353B,3.3,9.00,9.00,9.00,9.00,9.00,9.00,9.00,89.10,180.90,1,1,0.00,207C,3.6,8.50,8.50,8.00,8.00,8.00,8.00,8.00,86.40,267.30,2,1,0.00,307C,3.5,8.50,9.50,9.00,9.00,9.00,9.00,9.50,94.50,361.80,1,1,0.00,407B,3.7,8.50,8.50,8.50,9.00,9.00,8.50,8.50,94.35,456.15,2,1,0.00,109C,3.8,9.00,8.50,9.00,9.00,9.00,9.00,9.00,102.60,558.75,1,1,0.00,2020,M,3m
2,China,Zongyuan Wang,19,534.90,23.85,407C,3.4,8.50,8.50,8.50,8.50,9.00,8.50,8.50,86.70,86.70,2,2,5.10,5337D,3.5,8.00,8.00,7.00,8.00,8.00,8.00,7.50,84.00,170.70,3,3,10.20,5156B,3.9,7.00,7.50,7.50,7.50,7.00,7.50,7.00,85.80,256.50,3,2,10.80,307C,3.5,8.00,8.00,8.50,8.00,8.00,8.00,7.50,84.00,340.50,2,2,21.30,207C,3.6,8.00,9.00,8.50,8.50,8.00,8.50,8.50,91.80,432.30,4,2,23.85,109C,3.8,9.00,9.00,9.50,9.00,9.00,9.00,9.00,102.60,534.90,1,2,23.85,2020,M,3m
3,Great Britain,Jack Laugher,26,518.00,40.75,5154B,3.4,8.00,8.50,8.50,8.00,8.00,8.50,8.50,85.00,85.00,3,3,6.80,307C,3.5,8.00,8.00,9.00,8.00,8.00,8.50,8.50,85.75,170.75,2,2,10.15,407C,3.4,7.50,8.00,8.00,8.00,8.00,8.00,7.50,81.60,252.35,4,3,14.95,207C,3.6,7.50,8.00,7.50,8.00,7.50,7.50,7.50,81.00,333.35,4,3,28.45,109C,3.8,8.50,8.50,8.00,8.00,8.50,9.00,9.00,96.90,430.25,1,3,25.90,5156B,3.9,8.00,7.50,7.50,7.00,7.00,7.50,7.50,87.75,518.00,5,3,40.75,2020,M,3m
4,South Korea,Haram Woo,23,481.85,76.90,5154B,3.4,7.50,7.50,7.50,7.50,7.50,7.00,7.50,76.50,76.50,5,5,15.30,407C,3.4,8.00,8.00,8.00,8.50,8.50,8.00,8.00,81.60,158.10,5,5,22.80,109C,3.8,8.00,8.00,8.00,8.50,8.00,8.00,8.00,91.20,249.30,1,4,18.00,307C,3.5,7.00,8.00,8.00,7.50,8.00,7.50,8.00,82.25,331.55,3,4,30.25,207C,3.6,7.00,6.00,6.00,6.50,6.50,6.50,5.00,68.40,399.95,7,4,56.20,5156B,3.9,7.50,7.00,6.50,7.00,7.00,7.50,7.00,81.90,481.85,7,4,76.90,2020,M,3m
5,Russian Olympic Committee,Evgenii Kuznetsov,31,461.90,96.85,407C,3.4,7.00,7.50,7.50,7.00,7.50,7.50,7.00,74.80,74.80,7,7,17.00,5154B,3.4,7.50,8.50,7.50,8.00,7.50,8.00,7.50,78.20,153.00,6,6,27.90,5156B,3.9,7.00,5.50,6.50,6.00,6.50,6.50,6.50,76.05,229.05,7,5,38.25,207C,3.6,4.00,4.00,4.00,3.50,3.50,4.00,4.50,43.20,272.25,12,8,89.55,307C,3.5,8.50,8.50,9.00,8.50,9.00,9.00,9.00,92.75,365.00,3,5,91.15,109C,3.8,8.00,8.50,8.00,8.50,9.00,8.50,8.50,96.90,461.90,3,5,96.85,2020,M,3m
6,Mexico,Rommel Pacheco Marrufo,35,428.75,130.00,5154B,3.4,8.00,8.50,8.00,8.00,8.50,8.00,8.50,83.30,83.30,4,4,8.50,205B,3,6.50,7.00,7.50,7.00,7.50,7.00,7.00,63.00,146.30,10,7,34.60,407C,3.4,7.00,7.00,7.50,7.00,7.00,7.50,7.50,73.10,219.40,9,6,47.90,5353B,3.3,8.00,8.00,8.00,8.00,8.50,8.50,8.00,79.20,298.60,5,5,63.20,307C,3.5,3.50,2.50,3.00,3.50,3.00,3.50,3.00,33.25,331.85,12,9,124.30,109C,3.8,8.50,8.50,8.50,8.00,8.00,8.50,8.50,96.90,428.75,3,6,130.00,2020,M,3m
7,Germany,Martin Wolfram,29,426.75,132.00,205B,3,7.00,7.00,7.00,6.50,6.50,6.00,7.00,61.50,61.50,11,11,30.30,5337D,3.5,7.50,7.00,7.00,7.50,7.00,7.50,7.50,77.00,138.50,7,8,42.40,307C,3.5,8.00,7.50,7.50,7.50,7.00,8.00,7.50,78.75,217.25,5,7,50.05,407C,3.4,7.50,7.00,7.00,7.00,6.50,6.50,6.00,69.70,286.95,7,6,74.85,109C,3.8,6.00,6.00,5.50,5.50,6.00,6.00,6.50,68.40,355.35,7,6,100.80,5154B,3.4,7.00,7.00,7.00,7.00,7.00,7.00,7.00,71.40,426.75,10,7,132.00,2020,M,3m
8,New Zealand,Anton Down-Jenkins,21,415.60,143.15,405B,3,8.00,7.50,7.50,7.50,7.50,8.00,7.50,67.50,67.50,9,9,24.30,205B,3,7.50,7.00,7.50,6.50,7.50,7.50,7.50,67.50,135.00,9,9,45.90,305B,3,8.00,7.50,7.50,8.00,8.00,8.50,7.50,70.50,205.50,10,8,61.80,107B,3.1,8.00,7.50,7.50,8.00,8.00,8.00,8.00,74.40,279.90,6,7,81.90,5152B,3,7.00,7.00,7.50,7.00,7.50,7.50,7.50,66.00,345.90,9,8,110.25,5154B,3.4,7.00,6.50,7.00,6.00,6.50,7.00,7.00,69.70,415.60,11,8,143.15,2020,M,3m
9,Great Britain,James Heatly,24,411.00,147.75,205B,3,6.50,6.50,7.00,6.50,6.50,6.50,7.00,58.50,58.50,12,12,33.30,407C,3.4,7.00,7.00,7.00,7.00,7.00,7.50,7.00,71.40,129.90,8,11,51.00,5337D,3.5,7.00,7.00,7.00,7.00,7.00,7.00,7.00,73.50,203.40,8,9,63.90,307C,3.5,5.50,5.00,5.00,5.50,5.50,5.50,5.50,57.75,261.15,10,9,100.65,109C,3.8,8.00,7.50,7.50,8.00,7.50,7.50,7.50,85.50,346.65,5,7,109.50,5156B,3.9,5.50,5.50,5.00,5.50,5.50,5.00,6.00,64.35,411.00,12,9,147.75,2020,M,3m
10,United States,Andrew Capobianco,21,401.70,157.05,5154B,3.4,7.50,8.00,7.50,7.00,7.50,7.50,7.50,76.50,76.50,5,5,15.30,5337D,3.5,8.00,8.00,8.00,8.00,8.00,8.00,7.50,84.00,160.50,3,4,20.40,307C,3.5,4.00,4.00,3.50,4.00,4.00,4.50,3.00,42.00,202.50,11,10,64.80,207C,3.6,4.00,4.50,5.00,4.00,4.50,5.00,4.50,48.60,251.10,11,11,110.70,407C,3.4,7.50,7.00,7.50,8.00,7.00,7.50,8.00,76.50,327.60,6,10,128.55,109C,3.8,6.50,6.50,6.50,6.50,7.00,6.50,7.00,74.10,401.70,9,10,157.05,2020,M,3m
11,Egpyt,Mohab Ishak,24,393.15,165.60,205B,3,8.00,8.50,8.00,8.00,8.00,8.00,8.00,72.00,72.00,8,8,19.80,407C,3.4,4.00,3.50,3.50,3.00,4.00,4.50,4.00,39.10,111.10,12,12,69.80,5154B,3.4,7.50,7.50,7.50,7.50,7.50,7.50,8.00,76.50,187.60,6,11,79.70,5353B,3.3,7.00,7.50,7.00,7.50,7.00,7.00,7.00,69.30,256.90,8,10,104.90,307C,3.5,4.50,4.00,4.50,5.00,5.00,5.00,6.00,50.75,307.65,11,11,148.50,109C,3.8,7.50,7.50,7.50,7.50,7.50,7.00,7.50,85.50,393.15,6,11,165.60,2020,M,3m
12,Japan,Ken Terauchi,40,359.70,199.05,205B,3,7.00,7.50,7.00,7.50,7.50,7.50,8.00,67.50,67.50,9,9,24.30,305B,3,7.50,6.50,7.00,7.00,7.00,7.00,7.00,63.00,130.50,10,10,50.40,5353B,3.3,4.00,3.00,3.50,3.00,3.00,3.00,3.00,29.70,160.20,12,12,107.10,405B,3,7.50,7.00,7.00,8.00,8.00,8.00,7.50,69.00,229.20,9,12,132.60,5154B,3.4,5.50,6.00,6.00,5.50,5.50,5.50,5.00,56.10,285.30,10,12,170.85,107B,3.1,8.00,8.00,8.00,8.00,8.00,8.00,8.00,74.40,359.70,8,12,199.05,2020,M,3m
1,China,Yuan Cao,21,547.60,0.00,407C,3.4,8.50,8.50,8.50,8.50,8.00,8.00,8.00,85.00,85.00,1,1,0.00,5337D,3.5,8.50,9.00,9.00,8.50,9.00,9.00,9.00,94.50,179.50,1,1,0.00,307C,3.5,9.00,9.00,8.50,8.50,9.00,9.50,9.00,94.50,274.00,1,1,0.00,207C,3.6,8.00,9.00,8.00,8.50,8.50,8.00,8.50,90.00,364.00,2,1,0.00,5154B,3.4,8.50,8.50,8.50,8.50,8.50,8.00,8.00,86.70,450.70,3,1,0.00,109C,3.8,8.50,9.00,8.50,8.50,8.50,8.50,8.50,96.90,547.60,1,1,0.00,2016,M,3m
2,Great Britain,Jack Laugher,21,523.85,23.75,5154B,3.4,8.00,8.50,8.50,8.00,8.00,8.00,8.00,81.60,81.60,2,2,3.40,307C,3.5,8.00,9.00,8.50,9.00,8.50,8.50,9.00,91.00,172.60,2,2,6.90,407C,3.4,9.00,8.50,8.50,9.00,8.00,9.00,9.00,90.10,262.70,2,2,11.30,5156B,3.9,6.50,6.50,7.00,5.50,6.50,5.50,6.50,76.05,338.75,8,2,25.25,109C,3.8,8.50,9.00,8.50,8.50,8.00,8.00,9.00,96.90,435.65,2,2,15.05,207C,3.6,8.00,8.00,8.50,8.00,8.00,8.50,8.50,88.20,523.85,5,2,23.75,2016,M,3m
3,Germany,Patrick Hausding,27,498.90,48.70,205B,3,7.50,7.00,7.50,7.00,7.00,7.00,7.00,63.00,63.00,10,10,22.00,307C,3.5,8.50,9.00,8.00,8.50,8.50,8.50,9.00,89.25,152.25,3,5,27.25,5355B,3.7,7.00,7.00,7.50,7.00,7.00,7.50,7.50,79.55,231.80,6,5,42.20,407C,3.4,8.50,7.50,8.00,8.00,7.50,8.50,8.50,83.30,315.10,5,5,48.90,109C,3.8,8.50,9.00,7.50,9.00,8.50,8.50,9.00,98.80,413.90,1,3,36.80,5154B,3.4,8.00,8.50,8.00,8.50,8.00,9.00,8.50,85.00,498.90,6,3,48.70,2016,M,3m
4,Russia,Evgenii Kuznetsov,26,481.35,66.25,407C,3.4,8.00,8.00,9.00,8.00,8.00,8.50,8.00,81.60,81.60,2,2,3.40,5154B,3.4,8.00,7.00,7.50,7.50,7.00,7.50,7.50,76.50,158.10,8,3,21.40,5156B,3.9,6.00,5.50,6.50,6.50,4.50,6.00,5.50,68.25,226.35,11,7,47.65,207C,3.6,8.00,8.50,8.00,9.00,7.50,8.50,9.00,90.00,316.35,2,4,47.65,307C,3.5,7.00,6.50,6.50,7.00,7.00,6.50,6.50,70.00,386.35,7,5,64.35,109C,3.8,8.50,8.50,8.00,8.50,8.50,8.00,8.00,95.00,481.35,3,4,66.25,2016,M,3m
5,United States,Kristian Ipsen,23,475.80,71.80,205B,3,8.50,8.00,8.00,8.00,8.00,8.00,8.50,72.00,72.00,5,5,13.00,405B,3,8.00,8.00,8.50,8.00,8.50,9.00,8.50,75.00,147.00,10,8,32.50,107B,3.1,7.50,8.00,8.00,7.50,8.00,7.50,8.00,72.85,219.85,10,9,54.15,5337D,3.5,8.00,9.00,8.50,8.50,8.00,8.50,8.50,89.25,309.10,4,6,54.90,307C,3.5,7.50,7.00,7.50,7.50,7.00,8.00,7.00,77.00,386.10,5,6,64.60,5156B,3.9,7.50,8.00,7.50,7.50,7.50,8.00,8.50,89.70,475.80,4,5,71.80,2016,M,3m
6,Ukraine,Illya Kvasha,28,475.10,72.50,407C,3.4,7.00,7.00,6.50,7.00,7.50,7.00,6.50,71.40,71.40,8,8,13.60,107B,3.1,8.50,8.50,8.50,9.00,8.50,9.00,8.50,79.05,150.45,6,6,29.05,307C,3.5,7.50,7.00,8.00,8.00,7.50,8.00,8.00,82.25,232.70,5,3,41.30,109C,3.8,8.50,8.50,8.00,8.00,8.00,8.00,8.50,93.10,325.80,1,3,38.20,205B,3,7.50,7.50,7.00,7.50,7.00,7.50,6.50,66.00,391.80,8,4,58.90,5154B,3.4,8.50,8.50,8.00,8.00,8.50,8.00,8.00,83.30,475.10,7,6,72.50,2016,M,3m
7,Mexico,Rommel Pacheco Marrufo,30,451.20,96.40,407C,3.4,4.50,4.50,5.00,4.50,5.00,4.50,4.00,45.90,45.90,12,12,39.10,205B,3,6.50,6.50,6.00,6.00,6.50,6.50,7.50,58.50,104.40,12,12,75.10,5154B,3.4,8.00,8.50,8.00,8.50,8.50,8.50,8.50,86.70,191.10,3,11,82.90,5353B,3.3,7.50,8.00,8.00,8.00,8.00,8.00,8.00,79.20,270.30,6,11,93.70,307C,3.5,8.00,8.00,8.00,8.00,8.00,8.00,8.50,84.00,354.30,4,10,96.40,109C,3.8,8.00,8.50,8.50,8.00,8.50,8.50,8.50,96.90,451.20,1,7,96.40,2016,M,3m
8,Ireland,Oliver Dingley,23,442.90,104.70,107B,3.1,8.00,8.00,8.00,8.00,8.00,8.00,8.00,74.40,74.40,4,4,10.60,5154B,3.4,8.00,8.00,8.00,8.00,8.00,8.00,8.00,81.60,156.00,4,4,23.50,407C,3.4,7.50,7.50,7.50,6.50,6.50,7.50,7.50,76.50,232.50,7,4,41.50,205B,3,7.50,8.00,7.50,8.00,7.50,7.50,8.50,69.00,301.50,11,8,62.50,305B,3,7.00,7.00,7.50,6.50,6.50,7.50,6.50,61.50,363.00,12,8,87.70,5253B,3.4,8.00,7.50,8.00,7.50,7.50,8.00,8.00,79.90,442.90,9,8,104.70,2016,M,3m
9,Brazil,Cesar Castro,33,436.00,111.60,5152B,3,8.00,8.50,8.00,8.00,8.00,8.50,8.00,72.00,72.00,5,5,13.00,107B,3.1,8.00,8.50,8.50,8.00,8.00,8.50,8.50,77.50,149.50,7,7,30.00,5154B,3.4,7.50,8.00,7.00,7.50,7.50,7.50,8.00,76.50,226.00,7,8,48.00,205B,3,8.00,8.00,7.50,7.50,7.50,8.00,8.00,70.50,296.50,10,9,67.50,305B,3,6.50,7.00,7.00,7.00,7.00,7.00,7.00,63.00,359.50,10,9,91.20,405B,3,8.50,8.50,8.50,8.50,8.00,8.50,8.00,76.50,436.00,10,9,111.60,2016,M,3m
10,United States,Mike Hixon,22,431.65,115.95,205B,3,6.50,6.50,7.00,7.00,6.50,6.50,7.00,60.00,60.00,11,11,25.00,5154B,3.4,8.00,8.00,8.00,8.00,8.00,8.00,8.00,81.60,141.60,4,9,37.90,5337D,3.5,9.00,8.00,8.50,8.00,8.00,8.50,8.00,85.75,227.35,4,6,46.65,307C,3.5,7.00,7.00,7.00,7.50,7.50,7.50,7.50,77.00,304.35,7,7,59.65,109C,3.8,6.00,5.50,5.50,5.50,5.50,5.00,6.00,62.70,367.05,11,7,83.65,407C,3.4,6.50,5.50,5.00,6.50,7.00,6.50,6.00,64.60,431.65,12,10,115.95,2016,M,3m
11,Canada,Philippe Gagne,18,425.30,122.30,205B,3,8.00,8.00,8.00,8.00,8.00,8.50,8.50,72.00,72.00,5,5,13.00,107B,3.1,6.50,6.00,7.00,7.50,7.00,7.00,6.50,63.55,135.55,11,11,43.95,5154B,3.4,7.00,6.50,7.50,7.50,7.00,6.50,7.50,73.10,208.65,9,10,65.35,407C,3.4,7.00,7.00,6.50,7.00,7.50,7.00,8.00,71.40,280.05,9,10,83.95,307C,3.5,6.00,5.50,5.50,6.50,6.00,6.50,7.00,64.75,344.80,9,11,105.90,5337D,3.5,7.50,8.00,7.50,7.00,8.00,7.50,8.00,80.50,425.30,8,11,122.30,2016,M,3m
12,Colombia,Sebstian Morales Mendoza,21,364.50,183.10,107B,3.1,6.50,7.00,7.00,7.00,7.00,7.00,6.50,65.10,65.10,9,9,19.90,407C,3.4,7.00,7.50,8.00,7.50,7.50,7.50,7.00,76.50,141.60,8,9,37.90,307C,3.5,4.00,4.00,4.50,4.00,5.50,4.00,3.50,42.00,183.60,12,12,90.40,109C,3.8,2.50,3.00,3.00,3.00,3.50,3.00,2.50,34.20,217.80,12,12,146.20,207C,3.6,6.50,6.50,7.00,6.50,6.50,6.50,6.50,70.20,288.00,6,12,162.70,5154B,3.4,7.00,7.50,7.50,7.50,7.50,7.50,7.50,76.50,364.50,10,12,183.10,2016,M,3m
